"Path","IsFileOrDirectory","GitTracked","GitIgnored","FileCount","SizeBytes","ContainsGitMetadata","ContainsManifest","ContainsTests","ContainsEntrypoint","ContainsSecretsSuspected","ContainsRuntimeState","ContainsGeneratedArtifacts","ImportReferences","CIReferences","DocReferences","TestReferences","LastCommitTouch","Classification","Responsibility","CanMove","ProposedOperation","ProposedDestination","RiskIfMoved","RiskIfLeft","RollbackMethod","ValidationCommand","OwnerApprovalRequired"
"T:\Project-AI-main\__pycache__","Directory","True","True","0","N/A (large)","False","False","False","False","False","False","True","0","0","0","0","See git log","GENERATED_OR_RUNTIME","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- __pycache__ or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.agent","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .agent or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.antigravity","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .antigravity or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.claude","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .claude or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.codacy","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .codacy or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.devcontainer","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .devcontainer or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.githooks","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .githooks or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.github","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .github or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.gradle","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .gradle or from hash manifest","git status; ap validate; python canonical/replay.py","True"
"T:\Project-AI-main\.hypothesis","File","True","True","1","0","False","False","False","False","False","False","False","0","0","0","0","See git log","CACHE_OR_ENVIRONMENT","See prior RESPONSIBILITY_RECOVERY_AUDIT.md for details","True","COPY_VERIFY_THEN_REMOVE","T:\Project-AI-consolidation-logs\","Low if verified","Low per BOUNDARY_AUDIT","git checkout -- .hypothesis or from hash manifest","git status; ap validate; python canonical/replay.py","True"
