"Path","IsFileOrDirectory","GitTracked","GitIgnored","GitStatus","TopLevelItem","FileCount","SizeBytes","ContainsGitMetadata","ContainsPackageManifest","ContainsTests","ContainsEntrypoint","ContainsSecretsSuspected","ContainsRuntimeState","ContainsGeneratedArtifacts","ContainsCacheArtifacts","ContainsArchiveMaterial","ContainsDocs","ContainsSource","ContainsCIOrWorkflow","ContainsAgentInstructions","ContainsGovernanceMaterial","ImportReferencesCount","TestReferencesCount","CIReferencesCount","DocReferencesCount","ConfigReferencesCount","EvidenceCommandsUsed","Classification","ResponsibilityArea","LifecycleStatus","CanMove","ProposedOperation","ProposedDestination","RiskIfMoved","RiskIfLeft","RollbackMethod","ValidationRequired","OwnerApprovalRequired","Confidence","Reason","PhysicalExists"
"T:\Project-AI-main\__pycache__","Directory","False","True","IGNORED","__pycache__","0","N/A","False","False","False","False","False","False","False","False","False","False","False","False","False","False","0","1","4","15","3","git ls-files; git check-ignore; git grep (limited); Get-ChildItem (limited); dirLs from git ls-files for contains/counts on tracked; prior audit files (BOUNDARY_AUDIT etc); step2/5/6.log (provenance only)","GENERATED_OR_RUNTIME","Generated or runtime artifact (per .gitignore and DELETED_FILES_HISTORY)","GENERATED","YES_LOW_RISK_AFTER_VALIDATION","COPY_VERIFY_THEN_REMOVE_AFTER_APPROVAL","T:\Project-AI-consolidation-logs","High - default; may break active references per audits","Low to medium - clutter but preserves evidence per BOUNDARY_AUDIT","git checkout -- __pycache__ or restore from T:\Project-AI-consolidation-logs\PROJECT_AI_ROOT_HASH_MANIFEST_V2.csv","git status; python -m pytest --collect-only; ap validate agent_playbook; python canonical/replay.py","True","HIGH","Explicitly generated per .gitignore and prior DELETED_FILES_HISTORY | Commands: git ls-files --error-unmatch -- '__pycache__'; git ls-files -- '__pycache__/'; git ls-files --others --exclude-standard (preloaded+filter); git ls-files --others --ignored --exclude-standard (preloaded+filter); git check-ignore -q -- '__pycache__' + LASTEXITCODE; Test-Path -LiteralPath '.\__pycache__'; git status --porcelain (global). V2-snapshots: LSFILES_V2=5276 lines, UNTRACKED_V2=0 (current untracked also 0). Old uniform Git* values overridden. | Obvious generated/cache/runtime material confirmed IGNORED (not tracked in index, matches ignore patterns), not high-risk, global untracked=0 implies low active refs. Per protocol: YES_LOW_RISK_AFTER_VALIDATION allowed.","True"
"T:\Project-AI-main\.agent","Directory","True","False","TRACKED",".agent","1","N/A","False","False","False","False","False","False","False","False","False","True","False","False","True","False","2807","64","40","401","16","git ls-files; git check-ignore; git grep (limited); Get-ChildItem (limited); dirLs from git ls-files for contains/counts on tracked; prior audit files (BOUNDARY_AUDIT etc); step2/5/6.log (provenance only)","UNKNOWN_REVIEW","See prior audits (BOUNDARY_AUDIT.md, RESPONSIBILITY_RECOVERY_AUDIT.md, CAPABILITY_AUTHORITY_PROVENANCE.md, ACTIVE_MAP.md) and step2/5/6.log for provenance; insufficient current evidence for override from UNKNOWN_REVIEW","UNKNOWN","NO","NONE","N/A","High - default; may break active references per audits","Low to medium - clutter but preserves evidence per BOUNDARY_AUDIT","git checkout -- .agent or restore from T:\Project-AI-consolidation-logs\PROJECT_AI_ROOT_HASH_MANIFEST_V2.csv","git status; python -m pytest --collect-only; ap validate agent_playbook; python canonical/replay.py","True","LOW","Defaulted to UNKNOWN_REVIEW / CanMove=NO / OwnerApprovalRequired=YES per V2 high-assurance protocol unless strong evidence from current git/fs state + prior audits overrides. step2/5/6.log used as provenance only (prior copies of DC01 into IT/pentest, pre-phase2 webhooks into archive/pre-phase2, StormDesk). | Commands: git ls-files --error-unmatch -- '.agent'; git ls-files -- '.agent/'; git ls-files --others --exclude-standard (preloaded+filter); git ls-files --others --ignored --exclude-standard (preloaded+filter); git check-ignore -q -- '.agent' + LASTEXITCODE; Test-Path -LiteralPath '.\.agent'; git status --porcelain (global). V2-snapshots: LSFILES_V2=5276 lines, UNTRACKED_V2=0 (current untracked also 0). Old uniform Git* values overridden. | Conservative default: NO (insufficient evidence for movability after git/fs correction; high-assurance posture).","True"
"T:\Project-AI-main\.antigravity","Directory","True","False","TRACKED",".antigravity","7","N/A","False","False","False","True","False","False","False","False","False","True","True","True","True","False","2807","1","0","11","1","git ls-files; git check-ignore; git grep (limited); Get-ChildItem (limited); dirLs from git ls-files for contains/counts on tracked; prior audit files (BOUNDARY_AUDIT etc); step2/5/6.log (provenance only)","UNKNOWN_REVIEW","See prior audits (BOUNDARY_AUDIT.md, RESPONSIBILITY_RECOVERY_AUDIT.md, CAPABILITY_AUTHORITY_PROVENANCE.md, ACTIVE_MAP.md) and step2/5/6.log for provenance; insufficient current evidence for override from UNKNOWN_REVIEW","UNKNOWN","NO","NONE","N/A","High - default; may break active references per audits","Low to medium - clutter but preserves evidence per BOUNDARY_AUDIT","git checkout -- .antigravity or restore from T:\Project-AI-consolidation-logs\PROJECT_AI_ROOT_HASH_MANIFEST_V2.csv","git status; python -m pytest --collect-only; ap validate agent_playbook; python canonical/replay.py","True","LOW","Defaulted to UNKNOWN_REVIEW / CanMove=NO / OwnerApprovalRequired=YES per V2 high-assurance protocol unless strong evidence from current git/fs state + prior audits overrides. step2/5/6.log used as provenance only (prior copies of DC01 into IT/pentest, pre-phase2 webhooks into archive/pre-phase2, StormDesk). | Commands: git ls-files --error-unmatch -- '.antigravity'; git ls-files -- '.antigravity/'; git ls-files --others --exclude-standard (preloaded+filter); git ls-files --others --ignored --exclude-standard (preloaded+filter); git check-ignore -q -- '.antigravity' + LASTEXITCODE; Test-Path -LiteralPath '.\.antigravity'; git status --porcelain (global). V2-snapshots: LSFILES_V2=5276 lines, UNTRACKED_V2=0 (current untracked also 0). Old uniform Git* values overridden. | High-risk item (listed in protocol: active runtime/governance/agent/test/docs/CI/package etc.). Forced CanMove=NO, no operation proposed.","True"
"T:\Project-AI-main\.claude","Directory","True","False","TRACKED",".claude","1","N/A","False","False","False","False","False","False","False","False","False","False","False","False","False","False","2807","2","7","15","0","git ls-files; git check-ignore; git grep (limited); Get-ChildItem (limited); dirLs from git ls-files for contains/counts on tracked; prior audit files (BOUNDARY_AUDIT etc); step2/5/6.log (provenance only)","UNKNOWN_REVIEW","See prior audits (BOUNDARY_AUDIT.md, RESPONSIBILITY_RECOVERY_AUDIT.md, CAPABILITY_AUTHORITY_PROVENANCE.md, ACTIVE_MAP.md) and step2/5/6.log for provenance; insufficient current evidence for override from UNKNOWN_REVIEW","UNKNOWN","NO","NONE","N/A","High - default; may break active references per audits","Low to medium - clutter but preserves evidence per BOUNDARY_AUDIT","git checkout -- .claude or restore from T:\Project-AI-consolidation-logs\PROJECT_AI_ROOT_HASH_MANIFEST_V2.csv","git status; python -m pytest --collect-only; ap validate agent_playbook; python canonical/replay.py","True","LOW","Defaulted to UNKNOWN_REVIEW / CanMove=NO / OwnerApprovalRequired=YES per V2 high-assurance protocol unless strong evidence from current git/fs state + prior audits overrides. step2/5/6.log used as provenance only (prior copies of DC01 into IT/pentest, pre-phase2 webhooks into archive/pre-phase2, StormDesk). | Commands: git ls-files --error-unmatch -- '.claude'; git ls-files -- '.claude/'; git ls-files --others --exclude-standard (preloaded+filter); git ls-files --others --ignored --exclude-standard (preloaded+filter); git check-ignore -q -- '.claude' + LASTEXITCODE; Test-Path -LiteralPath '.\.claude'; git status --porcelain (global). V2-snapshots: LSFILES_V2=5276 lines, UNTRACKED_V2=0 (current untracked also 0). Old uniform Git* values overridden. | Conservative default: NO (insufficient evidence for movability after git/fs correction; high-assurance posture).","True"
"T:\Project-AI-main\.codacy","Directory","True","False","TRACKED",".codacy","2","N/A","False","False","False","False","False","False","False","False","False","False","True","False","False","False","2807","0","11","30","2","git ls-files; git check-ignore; git grep (limited); Get-ChildItem (limited); dirLs from git ls-files for contains/counts on tracked; prior audit files (BOUNDARY_AUDIT etc); step2/5/6.log (provenance only)","UNKNOWN_REVIEW","See prior audits (BOUNDARY_AUDIT.md, RESPONSIBILITY_RECOVERY_AUDIT.md, CAPABILITY_AUTHORITY_PROVENANCE.md, ACTIVE_MAP.md) and step2/5/6.log for provenance; insufficient current evidence for override from UNKNOWN_REVIEW","UNKNOWN","NO","NONE","N/A","High - default; may break active references per audits","Low to medium - clutter but preserves evidence per BOUNDARY_AUDIT","git checkout -- .codacy or restore from T:\Project-AI-consolidation-logs\PROJECT_AI_ROOT_HASH_MANIFEST_V2.csv","git status; python -m pytest --collect-only; ap validate agent_playbook; python canonical/replay.py","True","LOW","Defaulted to UNKNOWN_REVIEW / CanMove=NO / OwnerApprovalRequired=YES per V2 high-assurance protocol unless strong evidence from current git/fs state + prior audits overrides. step2/5/6.log used as provenance only (prior copies of DC01 into IT/pentest, pre-phase2 webhooks into archive/pre-phase2, StormDesk). | Commands: git ls-files --error-unmatch -- '.codacy'; git ls-files -- '.codacy/'; git ls-files --others --exclude-standard (preloaded+filter); git ls-files --others --ignored --exclude-standard (preloaded+filter); git check-ignore -q -- '.codacy' + LASTEXITCODE; Test-Path -LiteralPath '.\.codacy'; git status --porcelain (global). V2-snapshots: LSFILES_V2=5276 lines, UNTRACKED_V2=0 (current untracked also 0). Old uniform Git* values overridden. | Conservative default: NO (insufficient evidence for movability after git/fs correction; high-assurance posture).","True"
"T:\Project-AI-main\.devcontainer","Directory","True","False","TRACKED",".devcontainer","3","N/A","False","False","False","True","False","False","False","False","False","True","True","False","False","False","2807","0","1","8","0","git ls-files; git check-ignore; git grep (limited); Get-ChildItem (limited); dirLs from git ls-files for contains/counts on tracked; prior audit files (BOUNDARY_AUDIT etc); step2/5/6.log (provenance only)","UNKNOWN_REVIEW","See prior audits (BOUNDARY_AUDIT.md, RESPONSIBILITY_RECOVERY_AUDIT.md, CAPABILITY_AUTHORITY_PROVENANCE.md, ACTIVE_MAP.md) and step2/5/6.log for provenance; insufficient current evidence for override from UNKNOWN_REVIEW","UNKNOWN","NO","NONE","N/A","High - default; may break active references per audits","Low to medium - clutter but preserves evidence per BOUNDARY_AUDIT","git checkout -- .devcontainer or restore from T:\Project-AI-consolidation-logs\PROJECT_AI_ROOT_HASH_MANIFEST_V2.csv","git status; python -m pytest --collect-only; ap validate agent_playbook; python canonical/replay.py","True","LOW","Defaulted to UNKNOWN_REVIEW / CanMove=NO / OwnerApprovalRequired=YES per V2 high-assurance protocol unless strong evidence from current git/fs state + prior audits overrides. step2/5/6.log used as provenance only (prior copies of DC01 into IT/pentest, pre-phase2 webhooks into archive/pre-phase2, StormDesk). | Commands: git ls-files --error-unmatch -- '.devcontainer'; git ls-files -- '.devcontainer/'; git ls-files --others --exclude-standard (preloaded+filter); git ls-files --others --ignored --exclude-standard (preloaded+filter); git check-ignore -q -- '.devcontainer' + LASTEXITCODE; Test-Path -LiteralPath '.\.devcontainer'; git status --porcelain (global). V2-snapshots: LSFILES_V2=5276 lines, UNTRACKED_V2=0 (current untracked also 0). Old uniform Git* values overridden. | Conservative default: NO (insufficient evidence for movability after git/fs correction; high-assurance posture).","True"
"T:\Project-AI-main\.githooks","Directory","True","False","TRACKED",".githooks","1","N/A","False","False","False","False","False","False","False","False","False","False","False","False","False","False","2807","0","1","5","1","git ls-files; git check-ignore; git grep (limited); Get-ChildItem (limited); dirLs from git ls-files for contains/counts on tracked; prior audit files (BOUNDARY_AUDIT etc); step2/5/6.log (provenance only)","UNKNOWN_REVIEW","See prior audits (BOUNDARY_AUDIT.md, RESPONSIBILITY_RECOVERY_AUDIT.md, CAPABILITY_AUTHORITY_PROVENANCE.md, ACTIVE_MAP.md) and step2/5/6.log for provenance; insufficient current evidence for override from UNKNOWN_REVIEW","UNKNOWN","NO","NONE","N/A","High - default; may break active references per audits","Low to medium - clutter but preserves evidence per BOUNDARY_AUDIT","git checkout -- .githooks or restore from T:\Project-AI-consolidation-logs\PROJECT_AI_ROOT_HASH_MANIFEST_V2.csv","git status; python -m pytest --collect-only; ap validate agent_playbook; python canonical/replay.py","True","LOW","Defaulted to UNKNOWN_REVIEW / CanMove=NO / OwnerApprovalRequired=YES per V2 high-assurance protocol unless strong evidence from current git/fs state + prior audits overrides. step2/5/6.log used as provenance only (prior copies of DC01 into IT/pentest, pre-phase2 webhooks into archive/pre-phase2, StormDesk). | Commands: git ls-files --error-unmatch -- '.githooks'; git ls-files -- '.githooks/'; git ls-files --others --exclude-standard (preloaded+filter); git ls-files --others --ignored --exclude-standard (preloaded+filter); git check-ignore -q -- '.githooks' + LASTEXITCODE; Test-Path -LiteralPath '.\.githooks'; git status --porcelain (global). V2-snapshots: LSFILES_V2=5276 lines, UNTRACKED_V2=0 (current untracked also 0). Old uniform Git* values overridden. | High-risk item (listed in protocol: active runtime/governance/agent/test/docs/CI/package etc.). Forced CanMove=NO, no operation proposed.","True"
"T:\Project-AI-main\.github","Directory","True","False","TRACKED",".github","149","N/A","False","False","False","True","False","True","True","False","True","True","True","True","True","True","2807","3","103","388","66","git ls-files; git check-ignore; git grep (limited); Get-ChildItem (limited); dirLs from git ls-files for contains/counts on tracked; prior audit files (BOUNDARY_AUDIT etc); step2/5/6.log (provenance only)","UNKNOWN_REVIEW","See prior audits (BOUNDARY_AUDIT.md, RESPONSIBILITY_RECOVERY_AUDIT.md, CAPABILITY_AUTHORITY_PROVENANCE.md, ACTIVE_MAP.md) and step2/5/6.log for provenance; insufficient current evidence for override from UNKNOWN_REVIEW","UNKNOWN","NO","NONE","N/A","High - default; may break active references per audits","Low to medium - clutter but preserves evidence per BOUNDARY_AUDIT","git checkout -- .github or restore from T:\Project-AI-consolidation-logs\PROJECT_AI_ROOT_HASH_MANIFEST_V2.csv","git status; python -m pytest --collect-only; ap validate agent_playbook; python canonical/replay.py","True","LOW","Defaulted to UNKNOWN_REVIEW / CanMove=NO / OwnerApprovalRequired=YES per V2 high-assurance protocol unless strong evidence from current git/fs state + prior audits overrides. step2/5/6.log used as provenance only (prior copies of DC01 into IT/pentest, pre-phase2 webhooks into archive/pre-phase2, StormDesk). | Commands: git ls-files --error-unmatch -- '.github'; git ls-files -- '.github/'; git ls-files --others --exclude-standard (preloaded+filter); git ls-files --others --ignored --exclude-standard (preloaded+filter); git check-ignore -q -- '.github' + LASTEXITCODE; Test-Path -LiteralPath '.\.github'; git status --porcelain (global). V2-snapshots: LSFILES_V2=5276 lines, UNTRACKED_V2=0 (current untracked also 0). Old uniform Git* values overridden. | High-risk item (listed in protocol: active runtime/governance/agent/test/docs/CI/package etc.). Forced CanMove=NO, no operation proposed.","True"
"T:\Project-AI-main\.gradle","Directory","False","True","IGNORED",".gradle","0","N/A","False","False","False","False","False","False","False","False","False","False","False","False","False","False","2807","11","9","49","7","git ls-files; git check-ignore; git grep (limited); Get-ChildItem (limited); dirLs from git ls-files for contains/counts on tracked; prior audit files (BOUNDARY_AUDIT etc); step2/5/6.log (provenance only)","UNKNOWN_REVIEW","See prior audits (BOUNDARY_AUDIT.md, RESPONSIBILITY_RECOVERY_AUDIT.md, CAPABILITY_AUTHORITY_PROVENANCE.md, ACTIVE_MAP.md) and step2/5/6.log for provenance; insufficient current evidence for override from UNKNOWN_REVIEW","UNKNOWN","NO","NONE","N/A","High - default; may break active references per audits","Low to medium - clutter but preserves evidence per BOUNDARY_AUDIT","git checkout -- .gradle or restore from T:\Project-AI-consolidation-logs\PROJECT_AI_ROOT_HASH_MANIFEST_V2.csv","git status; python -m pytest --collect-only; ap validate agent_playbook; python canonical/replay.py","True","LOW","Defaulted to UNKNOWN_REVIEW / CanMove=NO / OwnerApprovalRequired=YES per V2 high-assurance protocol unless strong evidence from current git/fs state + prior audits overrides. step2/5/6.log used as provenance only (prior copies of DC01 into IT/pentest, pre-phase2 webhooks into archive/pre-phase2, StormDesk). | Commands: git ls-files --error-unmatch -- '.gradle'; git ls-files -- '.gradle/'; git ls-files --others --exclude-standard (preloaded+filter); git ls-files --others --ignored --exclude-standard (preloaded+filter); git check-ignore -q -- '.gradle' + LASTEXITCODE; Test-Path -LiteralPath '.\.gradle'; git status --porcelain (global). V2-snapshots: LSFILES_V2=5276 lines, UNTRACKED_V2=0 (current untracked also 0). Old uniform Git* values overridden. | Conservative default: NO (insufficient evidence for movability after git/fs correction; high-assurance posture).","True"
"T:\Project-AI-main\.hypothesis","Directory","False","True","IGNORED",".hypothesis","0","N/A","False","False","False","False","False","False","False","False","False","False","False","False","False","False","2807","2","2","8","3","git ls-files; git check-ignore; git grep (limited); Get-ChildItem (limited); dirLs from git ls-files for contains/counts on tracked; prior audit files (BOUNDARY_AUDIT etc); step2/5/6.log (provenance only)","UNKNOWN_REVIEW","See prior audits (BOUNDARY_AUDIT.md, RESPONSIBILITY_RECOVERY_AUDIT.md, CAPABILITY_AUTHORITY_PROVENANCE.md, ACTIVE_MAP.md) and step2/5/6.log for provenance; insufficient current evidence for override from UNKNOWN_REVIEW","UNKNOWN","YES_LOW_RISK_AFTER_VALIDATION","COPY_VERIFY_THEN_REMOVE_AFTER_APPROVAL","T:\Project-AI-consolidation-logs","High - default; may break active references per audits","Low to medium - clutter but preserves evidence per BOUNDARY_AUDIT","git checkout -- .hypothesis or restore from T:\Project-AI-consolidation-logs\PROJECT_AI_ROOT_HASH_MANIFEST_V2.csv","git status; python -m pytest --collect-only; ap validate agent_playbook; python canonical/replay.py","True","LOW","Defaulted to UNKNOWN_REVIEW / CanMove=NO / OwnerApprovalRequired=YES per V2 high-assurance protocol unless strong evidence from current git/fs state + prior audits overrides. step2/5/6.log used as provenance only (prior copies of DC01 into IT/pentest, pre-phase2 webhooks into archive/pre-phase2, StormDesk). | Commands: git ls-files --error-unmatch -- '.hypothesis'; git ls-files -- '.hypothesis/'; git ls-files --others --exclude-standard (preloaded+filter); git ls-files --others --ignored --exclude-standard (preloaded+filter); git check-ignore -q -- '.hypothesis' + LASTEXITCODE; Test-Path -LiteralPath '.\.hypothesis'; git status --porcelain (global). V2-snapshots: LSFILES_V2=5276 lines, UNTRACKED_V2=0 (current untracked also 0). Old uniform Git* values overridden. | Obvious generated/cache/runtime material confirmed IGNORED (not tracked in index, matches ignore patterns), not high-risk, global untracked=0 implies low active refs. Per protocol: YES_LOW_RISK_AFTER_VALIDATION allowed.","True"
